trig_clct0_valid,trig_clct0_pid,trig_clct0_nhit,trig_clct0_cc_code,trig_clct0_bend,trig_clct0_slope,trig_clct0_KeyHalfStrip,trig_clct0_KeyQuartStrip,trig_clct0_KeyEighthStrip,trig_clct1_valid,trig_clct1_pid,trig_clct1_nhit,trig_clct1_cc_code,trig_clct1_bend,trig_clct1_slope,trig_clct1_KeyHalfStrip,trig_clct1_KeyQuartStrip,trig_clct1_KeyEighthStrip
1,6,6,3691,0,6,61,123,247,1,8,4,2117,0,4,104,209,419
1,5,6,2815,1,11,56,112,225,0,0,0,0,0,0,0,0,0
1,10,6,1374,0,2,103,206,412,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,23,46,93,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,53,106,213,0,0,0,0,0,0,0,0,0
1,10,6,2746,0,0,73,147,294,0,0,0,0,0,0,0,0,0
1,10,5,4066,1,1,72,145,291,1,10,4,1732,1,0,111,222,444
1,10,5,1591,0,1,36,72,145,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,58,116,233,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,70,140,281,0,0,0,0,0,0,0,0,0
1,10,6,2793,1,1,49,98,197,0,0,0,0,0,0,0,0,0
1,10,5,3327,1,0,80,160,321,0,0,0,0,0,0,0,0,0
1,7,4,234,1,8,190,380,761,0,0,0,0,0,0,0,0,0
1,10,5,3327,1,0,166,332,665,0,0,0,0,0,0,0,0,0
1,10,4,764,0,2,149,298,597,0,0,0,0,0,0,0,0,0
1,2,4,4016,0,12,220,441,883,0,0,0,0,0,0,0,0,0
1,10,6,2391,0,1,174,349,699,1,10,5,3721,1,2,136,272,544
1,10,6,3754,1,1,82,164,329,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,140,280,561,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,210,420,841,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,81,162,325,0,0,0,0,0,0,0,0,0
1,10,4,3324,1,0,47,94,189,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,65,130,261,0,0,0,0,0,0,0,0,0
1,10,4,2095,0,1,148,297,595,0,0,0,0,0,0,0,0,0
1,10,6,1711,0,2,58,117,234,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,53,106,213,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,72,144,289,0,0,0,0,0,0,0,0,0
1,10,5,1182,0,2,27,54,108,0,0,0,0,0,0,0,0,0
1,8,5,3730,0,4,6,13,26,0,0,0,0,0,0,0,0,0
1,10,4,2620,0,2,32,64,128,1,3,4,1093,1,13,115,230,461
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,18,36,73,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,107,214,429,0,0,0,0,0,0,0,0,0
1,4,5,4045,0,11,85,171,342,1,3,5,3809,1,15,112,225,450
1,10,4,1140,0,1,3,7,15,0,0,0,0,0,0,0,0,0
1,10,5,4092,0,0,28,56,113,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,31,62,125,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,97,194,389,0,0,0,0,0,0,0,0,0
1,6,5,2748,0,8,164,328,657,0,0,0,0,0,0,0,0,0
1,3,4,974,1,15,75,150,301,0,0,0,0,0,0,0,0,0
1,10,5,3327,1,0,78,156,313,0,0,0,0,0,0,0,0,0
1,10,6,3434,1,0,202,404,808,0,0,0,0,0,0,0,0,0
1,10,6,2462,0,1,148,296,593,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,186,372,745,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,4,255,0,0,113,226,453,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,16,32,65,0,0,0,0,0,0,0,0,0
1,9,5,2792,1,5,167,334,669,1,8,4,1107,0,3,141,282,564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,5,445,0,6,215,431,863,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,150,300,601,0,0,0,0,0,0,0,0,0
1,10,5,3327,1,0,153,306,613,0,0,0,0,0,0,0,0,0
1,10,6,3755,1,0,98,197,394,1,7,6,2967,1,6,218,437,875
1,10,6,4095,1,0,210,420,841,1,6,5,1134,0,8,203,407,814
1,10,5,2744,0,0,141,283,566,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,3834,1,1,42,85,171,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,86,172,345,0,0,0,0,0,0,0,0,0
