trig_clct0_valid,trig_clct0_pid,trig_clct0_nhit,trig_clct0_cc_code,trig_clct0_bend,trig_clct0_slope,trig_clct0_KeyHalfStrip,trig_clct0_KeyQuartStrip,trig_clct0_KeyEighthStrip,trig_clct1_valid,trig_clct1_pid,trig_clct1_nhit,trig_clct1_cc_code,trig_clct1_bend,trig_clct1_slope,trig_clct1_KeyHalfStrip,trig_clct1_KeyQuartStrip,trig_clct1_KeyEighthStrip
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,10,5,3327,1,0,128,256,513
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,5,3327,1,0,128,256,513,0,0,0,0,0,0,0,0,0
1,10,4,251,1,0,66,132,264,0,0,0,0,0,0,0,0,0
1,8,6,1637,0,5,112,224,448,0,0,0,0,0,0,0,0,0
1,10,6,4078,1,1,106,213,427,0,0,0,0,0,0,0,0,0
1,10,6,3839,0,0,53,106,213,1,8,4,1456,0,5,45,90,180
1,10,6,3839,0,0,53,106,213,1,8,4,1456,0,5,45,90,180
1,10,6,3839,0,0,53,106,213,1,8,4,1456,0,5,45,90,180
1,10,6,3839,0,0,53,106,213,1,8,4,1456,0,5,45,90,180
1,10,5,2285,1,0,120,241,482,1,10,6,2746,0,0,112,225,450
1,10,5,4047,0,0,85,170,341,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,74,148,297,0,0,0,0,0,0,0,0,0
1,10,6,4095,1,0,74,148,297,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,3755,1,0,38,77,154,0,0,0,0,0,0,0,0,0
1,10,6,2794,1,0,119,239,478,0,0,0,0,0,0,0,0,0
