trig_clct0_valid,trig_clct0_pid,trig_clct0_nhit,trig_clct0_cc_code,trig_clct0_bend,trig_clct0_slope,trig_clct0_KeyHalfStrip,trig_clct0_KeyQuartStrip,trig_clct0_KeyEighthStrip,trig_clct1_valid,trig_clct1_pid,trig_clct1_nhit,trig_clct1_cc_code,trig_clct1_bend,trig_clct1_slope,trig_clct1_KeyHalfStrip,trig_clct1_KeyQuartStrip,trig_clct1_KeyEighthStrip
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,4,183,0,0,66,133,266,0,0,0,0,0,0,0,0,0
1,8,5,2953,0,4,101,203,406,1,10,6,3002,1,0,93,187,374
1,10,6,2986,1,0,107,214,429,0,0,0,0,0,0,0,0,0
1,10,6,2747,0,1,53,107,215,1,6,4,2672,0,7,46,92,184
1,10,6,2747,0,1,53,107,215,1,6,4,2672,0,7,46,92,184
1,10,6,2747,0,1,53,107,215,1,6,4,2672,0,7,46,92,184
1,10,6,2747,0,1,53,107,215,1,6,4,2672,0,7,46,92,184
1,10,6,1654,0,0,113,226,452,1,10,5,2302,0,0,121,242,484
1,10,5,2955,0,0,85,171,343,0,0,0,0,0,0,0,0,0
1,10,6,3003,0,0,74,149,299,0,0,0,0,0,0,0,0,0
1,10,6,3003,0,0,74,149,299,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,6,2663,0,0,39,78,156,0,0,0,0,0,0,0,0,0
1,10,6,3067,0,0,120,240,480,0,0,0,0,0,0,0,0,0
